Date,Trading method,Allocation no,Asset,Weight of asset(%)Asset price,Amount to buy ,Total spending,Timeframe
"Dec 30, 2020",One-off,1,stocks,1.0,203.32,491,99830.12,
"Dec 30, 2020",One-off,1,sbonds,0.0,203.32,0,0.0,
"Dec 30, 2020",One-off,1,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,1,gold,0.0,177.7,0,0.0,
"Dec 30, 2020",One-off,1,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,2,stocks,0.95,203.32,467,94950.44,
"Dec 30, 2020",One-off,2,sbonds,0.05,203.32,24,4879.68,
"Dec 30, 2020",One-off,2,sbonds,0.0,253.84,0,0.0,
"Dec 30, 2020",One-off,2,gold,0.0,177.7,0,0.0,
"Dec 30, 2020",One-off,2,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,3,stocks,0.95,203.32,467,94950.44,
"Dec 30, 2020",One-off,3,sbonds,0.0,203.32,0,0.0,
"Dec 30, 2020",One-off,3,sbonds,0.05,253.84,19,4822.96,
