Date,Trading method,Allocation no,Asset,Weight of asset,Asset price,Amount to buy,Total spending,Investment period
"Jul 01, 2020",One-off,150,cbonds,0.1,83.04,120,9964.8,3
"Jul 01, 2020",One-off,150,sbonds,0.1,261.9,38,9952.2,3
"Jul 01, 2020",One-off,150,gold,0.1,166.62,60,9997.2,3
"Jul 01, 2020",One-off,150,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,151,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,151,cbonds,0.1,83.04,120,9964.8,3
"Jul 01, 2020",One-off,151,sbonds,0.1,261.9,38,9952.2,3
"Jul 01, 2020",One-off,151,gold,0.05,166.62,30,4998.6,3
"Jul 01, 2020",One-off,151,cash,0.05,1,5000,5000,3
"Jul 01, 2020",One-off,152,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,152,cbonds,0.1,83.04,120,9964.8,3
"Jul 01, 2020",One-off,152,sbonds,0.1,261.9,38,9952.2,3
"Jul 01, 2020",One-off,152,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,152,cash,0.1,1,10000,10000,3
"Jul 01, 2020",One-off,153,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,153,cbonds,0.1,83.04,120,9964.8,3
"Jul 01, 2020",One-off,153,sbonds,0.05,261.9,19,4976.1,3
"Jul 01, 2020",One-off,153,gold,0.15,166.62,90,14995.8,3
"Jul 01, 2020",One-off,153,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,154,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,154,cbonds,0.1,83.04,120,9964.8,3
"Jul 01, 2020",One-off,154,sbonds,0.05,261.9,19,4976.1,3
"Jul 01, 2020",One-off,154,gold,0.1,166.62,60,9997.2,3
"Jul 01, 2020",One-off,154,cash,0.05,1,5000,5000,3
"Jul 01, 2020",One-off,155,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,155,cbonds,0.1,83.04,120,9964.8,3
"Jul 01, 2020",One-off,155,sbonds,0.05,261.9,19,4976.1,3
"Jul 01, 2020",One-off,155,gold,0.05,166.62,30,4998.6,3
"Jul 01, 2020",One-off,155,cash,0.1,1,10000,10000,3
"Jul 01, 2020",One-off,156,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,156,cbonds,0.1,83.04,120,9964.8,3
"Jul 01, 2020",One-off,156,sbonds,0.05,261.9,19,4976.1,3
"Jul 01, 2020",One-off,156,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,156,cash,0.15,1,15000,15000,3
"Jul 01, 2020",One-off,157,stocks,0.7,181.47,385,69865.95,3
